debut,fn,group,order
2019/06/13,pm64,Abra
2019/06/13,pm65,Abra
2022/09/06,pm65.fMEGA,Abra
2019/03/05,pm66,Machop
2019/03/05,pm67,Machop
2019/03/05,pm68,Machop
2020/07/16,pm69,Bellsprout
2020/07/16,pm70,Bellsprout
2020/07/16,pm71,Bellsprout
2019/11/19,pm72,Tentacool
2019/11/19,pm73,Tentacool
2018/09/13,pm74,Geodude
2018/09/13,pm75,Geodude
2018/09/13,pm76,Geodude
2019/06/28,pm74.fALOLA,Geodude_61
2019/06/28,pm75.fALOLA,Geodude_61
2019/06/28,pm76.fALOLA,Geodude_61
2018/11/05,pm77,Ponyta
2018/11/05,pm78,Ponyta
2021/05/11,pm77.fGALARIAN,Ponyta_31
2021/05/11,pm78.fGALARIAN,Ponyta_31
2021/07/17,pm77.fGALARIAN.cGOFEST_2021_NOEVOLVE,Ponyta_31_47
2023/05/11,pm77.cSPRING_2023_VALOR,Ponyta_23s
2023/05/11,pm78.cSPRING_2023_VALOR,Ponyta_23s
2020/11/16,pm79,Slowpoke
2020/11/16,pm80,Slowpoke
2021/06/08,pm80.fMEGA,Slowpoke
,pm79.f2020,Slowpoke_2020
,pm80.f2021,Slowpoke_2020
2023/03/18,pm79.fGALARIAN,Slowpoke_51
2023/03/18,pm80.fGALARIAN,Slowpoke_51
2018/11/16,pm81,Magnemite
2018/11/16,pm82,Magnemite
2019/09/09,pm83,Farfetchd
2021/08/20,pm83.fGALARIAN,Farfetchd_31
2021/08/20,pm865,Farfetchd_31
2020/09/21,pm84,Doduo
2020/09/21,pm85,Doduo
2019/05/01,pm86,Seel
2019/05/01,pm87,Seel
2018/09/13,pm88,Grimer
2018/09/13,pm89,Grimer
2019/06/28,pm88.fALOLA,Grimer_61
2019/06/28,pm89.fALOLA,Grimer_61
2018/06/07,pm90,Shellder
2018/06/07,pm91,Shellder
2018/11/03,pm92,Gastly
2018/11/03,pm93,Gastly
2018/11/03,pm94,Gastly
2018/11/03,pm94.fMEGA,Gastly
2020/03/01,pm94.cJAN_2020_NOEVOLVE,Gastly_11
2020/10/23,pm94.fCOSTUME_2020,Gastly_26
2022/10/27,pm94.cFALL_2022_NOEVOLVE,Gastly_2022
2019/06/04,pm95,Onix
2018/10/05,pm96,Drowzee
2018/10/05,pm97,Drowzee
2018/10/01,pm98,Krabby
2018/10/01,pm99,Krabby
2020/05/08,pm100,Voltorb
2020/05/08,pm101,Voltorb
2020/04/08,pm102,Exeggcute
2020/04/08,pm103,Exeggcute
2020/04/08,pm103.fALOLA,Exeggcute
2018/11/05,pm104,Cubone
2018/11/05,pm105,Cubone
2018/11/05,pm105.fALOLA,Cubone
2021/02/20,pm106,Tyrogue
2021/02/20,pm107,Tyrogue
2020/02/15,pm108,Lickitung
2019/07/25,pm109,Koffing
2019/07/25,pm110,Koffing
2021/08/20,pm110.fGALARIAN,Koffing_31
2020/02/22,pm111,Rhyhorn
2020/02/22,pm112,Rhyhorn
2020/02/13,pm113,Chansey
2021/04/04,pm113.cNOVEMBER_2018,Chansey_07
2020/07/24,pm114,Tangela
2019/09/09,pm115,Kangaskhan
2022/04/29,pm115.fMEGA,Kangaskhan
2019/06/13,pm116,Horsea
2019/06/13,pm117,Horsea
2020/11/23,pm118,Goldeen
2020/11/23,pm119,Goldeen
2020/08/07,pm120,Staryu
2020/08/07,pm121,Staryu
2019/09/09,pm122,Mr_Mime
2022/12/01,pm122.fGALARIAN,Mr_Mime_31
2019/04/02,pm123,Scyther
2019/02/13,pm124,Jynx
2018/11/15,pm125,Electabuzz
2023/05/02,pm125.cSPRING_2023_INSTINCT,Electabuzz_23s
2018/03/22,pm126,Magmar
2018/11/01,pm127,Pinsir
2023/05/11,pm127.fMEGA,Pinsir
2019/09/09,pm128,Tauros
2017/03/22,pm129,Magikarp
2017/03/22,pm130,Magikarp
2017/03/22,pm130.fMEGA,Magikarp
2019/04/18,pm131,Lapras
2022/05/12,pm131.fCOSTUME_2020,Lapras
2023/04/13,pm131.cSPRING_2023_MYSTIC,Lapras
2021/02/20,pm132,Ditto
2018/08/11,pm133,Eevee
2019/02/26,pm133.cNOVEMBER_2018,Eevee_07
2022/12/31,pm133.cHOLIDAY_2022,Eevee_2022h
2020/02/25,pm133.cJAN_2020_NOEVOLVE,Eevee_11
2023/04/04,pm133.cSPRING_2023,Eevee_23s
2018/08/11,pm134,Eevee
2019/02/26,pm134.cNOVEMBER_2018,Eevee_07
2022/12/31,pm134.cHOLIDAY_2022,Eevee_2022h
2023/04/04,pm134.cSPRING_2023,Eevee_23s
2018/08/11,pm135,Eevee
2019/02/26,pm135.cNOVEMBER_2018,Eevee_07
2022/12/31,pm135.cHOLIDAY_2022,Eevee_2022h
